Using cpu device
Wrapping the env in a DummyVecEnv.
Logging to experiments/RL/course_project/runs/ppo_imitation_bugfix_1_5M/tensorboard/ppo/PPO_1
---------------------------------
| rollout/           |          |
| time/                   |             |
|    fps                  | 1378        |
|    iterations           | 281         |
|    time_elapsed         | 417         |
|    total_timesteps      | 575488      |
| train/                  |             |
|    approx_kl            | 0.029578956 |
|    clip_fraction        | 0.336       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.2       |
|    explained_variance   | 0.5521053   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0632     |
|    n_updates            | 2800        |
|    policy_gradient_loss | -0.0346     |
|    std                  | 0.722       |
|    value_loss           | 0.00788     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.99e+03     |
|    ep_rew_mean          | 660          |
| time/                   |              |
|    fps                  | 1379         |
|    iterations           | 282          |
|    time_elapsed         | 418          |
|    total_timesteps      | 577536       |
| train/                  |              |
|    approx_kl            | 0.0339173    |
|    clip_fraction        | 0.35         |
|    clip_range           | 0.2          |
|    entropy_loss         | -16.2        |
|    explained_variance   | -0.058441043 |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0659      |
|    n_updates            | 2810         |
|    policy_gradient_loss | -0.0406      |
|    std                  | 0.721        |
|    value_loss           | 0.00645      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 2.99e+03    |
|    ep_rew_mean          | 660         |
| time/                   |             |
|    fps                  | 1379        |
|    iterations           | 283         |
|    time_elapsed         | 420         |
|    total_timesteps      | 579584      |
| train/                  |             |
|    approx_kl            | 0.035825774 |
|    clip_fraction        | 0.364       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.2       |
|    explained_variance   | -0.5441773  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00824    |
|    n_updates            | 2820        |
|    policy_gradient_loss | -0.0404     |
|    std                  | 0.721       |
|    value_loss           | 0.00811     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 2.99e+03     |
|    ep_rew_mean          | 660          |
| time/                   |              |
|    fps                  | 1379         |
|    iterations           | 284          |
|    time_elapsed         | 421          |
|    total_timesteps      | 581632       |
| train/                  |              |
|    approx_kl            | 0.030842036  |
|    clip_fraction        | 0.337        |
|    clip_range           | 0.2          |
|    entropy_loss         | -16.2        |
|    explained_variance   | -0.007125497 |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0346      |
|    n_updates            | 2830         |
|    policy_gradient_loss | -0.0388      |
|    std                  | 0.717        |
|    value_loss           | 0.00689      |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.1e+03    |
|    ep_rew_mean          | 690        |
| time/                   |            |
|    fps                  | 1379       |
|    iterations           | 285        |
|    time_elapsed         | 423        |
|    total_timesteps      | 583680     |
| train/                  |            |
|    approx_kl            | 0.03064407 |
|    clip_fraction        | 0.339      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.1      |
|    explained_variance   | -1.2573793 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0336    |
|    n_updates            | 2840       |
|    policy_gradient_loss | -0.0357    |
|    std                  | 0.718      |
|    value_loss           | 0.0115     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.1e+03     |
|    ep_rew_mean          | 690         |
| time/                   |             |
|    fps                  | 1379        |
|    iterations           | 286         |
|    time_elapsed         | 424         |
|    total_timesteps      | 585728      |
| train/                  |             |
|    approx_kl            | 0.023857651 |
|    clip_fraction        | 0.322       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.1       |
|    explained_variance   | 0.88925534  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0052      |
|    n_updates            | 2850        |
|    policy_gradient_loss | -0.0279     |
|    std                  | 0.718       |
|    value_loss           | 0.307       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.1e+03     |
|    ep_rew_mean          | 690         |
| time/                   |             |
|    fps                  | 1379        |
|    iterations           | 287         |
|    time_elapsed         | 426         |
|    total_timesteps      | 587776      |
| train/                  |             |
|    approx_kl            | 0.032445177 |
|    clip_fraction        | 0.376       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.1       |
|    explained_variance   | -0.04629934 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.057      |
|    n_updates            | 2860        |
|    policy_gradient_loss | -0.0368     |
|    std                  | 0.717       |
|    value_loss           | 0.00893     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.15e+03   |
|    ep_rew_mean          | 701        |
| time/                   |            |
|    fps                  | 1379       |
|    iterations           | 288        |
|    time_elapsed         | 427        |
|    total_timesteps      | 589824     |
| train/                  |            |
|    approx_kl            | 0.02878109 |
|    clip_fraction        | 0.346      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.1      |
|    explained_variance   | 0.17613387 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0899    |
|    n_updates            | 2870       |
|    policy_gradient_loss | -0.038     |
|    std                  | 0.717      |
|    value_loss           | 0.0148     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.15e+03    |
|    ep_rew_mean          | 701         |
| time/                   |             |
|    fps                  | 1379        |
|    iterations           | 289         |
|    time_elapsed         | 428         |
|    total_timesteps      | 591872      |
| train/                  |             |
|    approx_kl            | 0.029225824 |
|    clip_fraction        | 0.327       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.1       |
|    explained_variance   | 0.9406064   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.168       |
|    n_updates            | 2880        |
|    policy_gradient_loss | -0.0236     |
|    std                  | 0.717       |
|    value_loss           | 0.274       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.15e+03    |
|    ep_rew_mean          | 701         |
| time/                   |             |
|    fps                  | 1379        |
|    iterations           | 290         |
|    time_elapsed         | 430         |
|    total_timesteps      | 593920      |
| train/                  |             |
|    approx_kl            | 0.032404054 |
|    clip_fraction        | 0.343       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.1       |
|    explained_variance   | -0.67729485 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0325     |
|    n_updates            | 2890        |
|    policy_gradient_loss | -0.0338     |
|    std                  | 0.717       |
|    value_loss           | 0.0114      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.15e+03   |
|    ep_rew_mean          | 701        |
| time/                   |            |
|    fps                  | 1380       |
|    iterations           | 291        |
|    time_elapsed         | 431        |
|    total_timesteps      | 595968     |
| train/                  |            |
|    approx_kl            | 0.03410904 |
|    clip_fraction        | 0.375      |
|    clip_range           | 0.2        |
|    entropy_loss         | -16.1      |
|    explained_variance   | 0.43556863 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0637    |
|    n_updates            | 2900       |
|    policy_gradient_loss | -0.0382    |
|    std                  | 0.716      |
|    value_loss           | 0.00415    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.15e+03    |
|    ep_rew_mean          | 701         |
| time/                   |             |
|    fps                  | 1380        |
|    iterations           | 292         |
|    time_elapsed         | 433         |
|    total_timesteps      | 598016      |
| train/                  |             |
|    approx_kl            | 0.028673384 |
|    clip_fraction        | 0.329       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.1       |
|    explained_variance   | 0.37399936  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0538     |
|    n_updates            | 2910        |
|    policy_gradient_loss | -0.0347     |
|    std                  | 0.715       |
|    value_loss           | 0.0055      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.15e+03    |
|    ep_rew_mean          | 701         |
| time/                   |             |
|    fps                  | 1380        |
|    iterations           | 293         |
|    time_elapsed         | 434         |
|    total_timesteps      | 600064      |
| train/                  |             |
|    approx_kl            | 0.029412672 |
|    clip_fraction        | 0.349       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16.1       |
|    explained_variance   | 0.44384533  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0476     |
|    n_updates            | 2920        |
|    policy_gradient_loss | -0.0348     |
|    std                  | 0.714       |
|    value_loss           | 0.00841     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.15e+03    |
|    ep_rew_mean          | 701         |
| time/                   |             |
|    fps                  | 1380        |
|    iterations           | 294         |
|    time_elapsed         | 436         |
|    total_timesteps      | 602112      |
| train/                  |             |
|    approx_kl            | 0.026744928 |
|    clip_fraction        | 0.312       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16         |
|    explained_variance   | 0.3022697   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0408     |
|    n_updates            | 2930        |
|    policy_gradient_loss | -0.0329     |
|    std                  | 0.713       |
|    value_loss           | 0.0116      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.15e+03    |
|    ep_rew_mean          | 701         |
| time/                   |             |
|    fps                  | 1380        |
|    iterations           | 295         |
|    time_elapsed         | 437         |
|    total_timesteps      | 604160      |
| train/                  |             |
|    approx_kl            | 0.029452661 |
|    clip_fraction        | 0.343       |
|    clip_range           | 0.2         |
|    entropy_loss         | -16         |
|    explained_variance   | 0.4838462   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0317     |
|    n_updates            | 2940        |
|    policy_gradient_loss | -0.0413     |
|    std                  | 0.71        |
|    value_loss           | 0.00873     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.15e+03    |
|    ep_rew_mean          | 701         |
| time/                   |             |
|    fps                  | 1380        |
|    iterations           | 296         |
|    time_elapsed         | 439         |
|    total_timesteps      | 606208      |
| train/                  |             |
|    approx_kl            | 0.030094743 |
|    clip_fraction        | 0.314       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.9       |
|    explained_variance   | 0.59794503  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0375     |
|    n_updates            | 2950        |
|    policy_gradient_loss | -0.0347     |
|    std                  | 0.706       |
|    value_loss           | 0.00551     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.15e+03    |
|    ep_rew_mean          | 701         |
| time/                   |             |
|    fps                  | 1380        |
|    iterations           | 297         |
|    time_elapsed         | 440         |
|    total_timesteps      | 608256      |
| train/                  |             |
|    approx_kl            | 0.032567337 |
|    clip_fraction        | 0.359       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.9       |
|    explained_variance   | 0.61269355  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.045      |
|    n_updates            | 2960        |
|    policy_gradient_loss | -0.0373     |
|    std                  | 0.704       |
|    value_loss           | 0.00565     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.35e+03   |
|    ep_rew_mean          | 754        |
| time/                   |            |
|    fps                  | 1380       |
|    iterations           | 298        |
|    time_elapsed         | 442        |
|    total_timesteps      | 610304     |
| train/                  |            |
|    approx_kl            | 0.02887871 |
|    clip_fraction        | 0.332      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.8      |
|    explained_variance   | 0.5216577  |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0801    |
|    n_updates            | 2970       |
|    policy_gradient_loss | -0.0352    |
|    std                  | 0.702      |
|    value_loss           | 0.00731    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.35e+03    |
|    ep_rew_mean          | 754         |
| time/                   |             |
|    fps                  | 1380        |
|    iterations           | 299         |
|    time_elapsed         | 443         |
|    total_timesteps      | 612352      |
| train/                  |             |
|    approx_kl            | 0.028410085 |
|    clip_fraction        | 0.335       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.8       |
|    explained_variance   | 0.8890342   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0123      |
|    n_updates            | 2980        |
|    policy_gradient_loss | -0.0262     |
|    std                  | 0.702       |
|    value_loss           | 0.367       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.35e+03    |
|    ep_rew_mean          | 754         |
| time/                   |             |
|    fps                  | 1380        |
|    iterations           | 300         |
|    time_elapsed         | 445         |
|    total_timesteps      | 614400      |
| train/                  |             |
|    approx_kl            | 0.0287273   |
|    clip_fraction        | 0.337       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.8       |
|    explained_variance   | -0.39441478 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0236     |
|    n_updates            | 2990        |
|    policy_gradient_loss | -0.0329     |
|    std                  | 0.702       |
|    value_loss           | 0.00662     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.35e+03    |
|    ep_rew_mean          | 754         |
| time/                   |             |
|    fps                  | 1380        |
|    iterations           | 301         |
|    time_elapsed         | 446         |
|    total_timesteps      | 616448      |
| train/                  |             |
|    approx_kl            | 0.032827392 |
|    clip_fraction        | 0.359       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.8       |
|    explained_variance   | -0.21526337 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0222     |
|    n_updates            | 3000        |
|    policy_gradient_loss | -0.0376     |
|    std                  | 0.702       |
|    value_loss           | 0.0125      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.44e+03    |
|    ep_rew_mean          | 775         |
| time/                   |             |
|    fps                  | 1380        |
|    iterations           | 302         |
|    time_elapsed         | 447         |
|    total_timesteps      | 618496      |
| train/                  |             |
|    approx_kl            | 0.03498482  |
|    clip_fraction        | 0.389       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.8       |
|    explained_variance   | -0.58979917 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0614     |
|    n_updates            | 3010        |
|    policy_gradient_loss | -0.0359     |
|    std                  | 0.7         |
|    value_loss           | 0.02        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.45e+03    |
|    ep_rew_mean          | 778         |
| time/                   |             |
|    fps                  | 1381        |
|    iterations           | 303         |
|    time_elapsed         | 449         |
|    total_timesteps      | 620544      |
| train/                  |             |
|    approx_kl            | 0.031206958 |
|    clip_fraction        | 0.342       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.8       |
|    explained_variance   | 0.8819347   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0394      |
|    n_updates            | 3020        |
|    policy_gradient_loss | -0.0254     |
|    std                  | 0.701       |
|    value_loss           | 0.211       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.46e+03    |
|    ep_rew_mean          | 780         |
| time/                   |             |
|    fps                  | 1381        |
|    iterations           | 304         |
|    time_elapsed         | 450         |
|    total_timesteps      | 622592      |
| train/                  |             |
|    approx_kl            | 0.026310917 |
|    clip_fraction        | 0.311       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.8       |
|    explained_variance   | 0.8919976   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0365      |
|    n_updates            | 3030        |
|    policy_gradient_loss | -0.0267     |
|    std                  | 0.702       |
|    value_loss           | 0.464       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.46e+03    |
|    ep_rew_mean          | 780         |
| time/                   |             |
|    fps                  | 1381        |
|    iterations           | 305         |
|    time_elapsed         | 452         |
|    total_timesteps      | 624640      |
| train/                  |             |
|    approx_kl            | 0.025792845 |
|    clip_fraction        | 0.313       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.8       |
|    explained_variance   | 0.9338545   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.425       |
|    n_updates            | 3040        |
|    policy_gradient_loss | -0.0285     |
|    std                  | 0.701       |
|    value_loss           | 0.874       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.46e+03   |
|    ep_rew_mean          | 780        |
| time/                   |            |
|    fps                  | 1381       |
|    iterations           | 306        |
|    time_elapsed         | 453        |
|    total_timesteps      | 626688     |
| train/                  |            |
|    approx_kl            | 0.03590211 |
|    clip_fraction        | 0.367      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.8      |
|    explained_variance   | 0.11987817 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0189    |
|    n_updates            | 3050       |
|    policy_gradient_loss | -0.0356    |
|    std                  | 0.701      |
|    value_loss           | 0.0209     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.46e+03    |
|    ep_rew_mean          | 780         |
| time/                   |             |
|    fps                  | 1381        |
|    iterations           | 307         |
|    time_elapsed         | 455         |
|    total_timesteps      | 628736      |
| train/                  |             |
|    approx_kl            | 0.038216043 |
|    clip_fraction        | 0.373       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.33910573  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.015      |
|    n_updates            | 3060        |
|    policy_gradient_loss | -0.0309     |
|    std                  | 0.7         |
|    value_loss           | 0.0355      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.46e+03    |
|    ep_rew_mean          | 780         |
| time/                   |             |
|    fps                  | 1381        |
|    iterations           | 308         |
|    time_elapsed         | 456         |
|    total_timesteps      | 630784      |
| train/                  |             |
|    approx_kl            | 0.03558099  |
|    clip_fraction        | 0.381       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | -0.27712405 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0155     |
|    n_updates            | 3070        |
|    policy_gradient_loss | -0.0334     |
|    std                  | 0.698       |
|    value_loss           | 0.0467      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.46e+03   |
|    ep_rew_mean          | 780        |
| time/                   |            |
|    fps                  | 1380       |
|    iterations           | 309        |
|    time_elapsed         | 458        |
|    total_timesteps      | 632832     |
| train/                  |            |
|    approx_kl            | 0.03432837 |
|    clip_fraction        | 0.372      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.7      |
|    explained_variance   | 0.5226138  |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0791    |
|    n_updates            | 3080       |
|    policy_gradient_loss | -0.042     |
|    std                  | 0.698      |
|    value_loss           | 0.00935    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.46e+03   |
|    ep_rew_mean          | 780        |
| time/                   |            |
|    fps                  | 1379       |
|    iterations           | 310        |
|    time_elapsed         | 460        |
|    total_timesteps      | 634880     |
| train/                  |            |
|    approx_kl            | 0.03162877 |
|    clip_fraction        | 0.354      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.7      |
|    explained_variance   | 0.37578344 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0218    |
|    n_updates            | 3090       |
|    policy_gradient_loss | -0.0379    |
|    std                  | 0.698      |
|    value_loss           | 0.00531    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.46e+03    |
|    ep_rew_mean          | 780         |
| time/                   |             |
|    fps                  | 1378        |
|    iterations           | 311         |
|    time_elapsed         | 462         |
|    total_timesteps      | 636928      |
| train/                  |             |
|    approx_kl            | 0.028064724 |
|    clip_fraction        | 0.346       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.41046417  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.029      |
|    n_updates            | 3100        |
|    policy_gradient_loss | -0.0343     |
|    std                  | 0.698       |
|    value_loss           | 0.00857     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.46e+03   |
|    ep_rew_mean          | 780        |
| time/                   |            |
|    fps                  | 1374       |
|    iterations           | 312        |
|    time_elapsed         | 464        |
|    total_timesteps      | 638976     |
| train/                  |            |
|    approx_kl            | 0.03156314 |
|    clip_fraction        | 0.374      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.7      |
|    explained_variance   | 0.46560293 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0529    |
|    n_updates            | 3110       |
|    policy_gradient_loss | -0.0395    |
|    std                  | 0.699      |
|    value_loss           | 0.00593    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.46e+03   |
|    ep_rew_mean          | 780        |
| time/                   |            |
|    fps                  | 1371       |
|    iterations           | 313        |
|    time_elapsed         | 467        |
|    total_timesteps      | 641024     |
| train/                  |            |
|    approx_kl            | 0.03174809 |
|    clip_fraction        | 0.359      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.7      |
|    explained_variance   | 0.4619345  |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0392    |
|    n_updates            | 3120       |
|    policy_gradient_loss | -0.0358    |
|    std                  | 0.699      |
|    value_loss           | 0.00705    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.46e+03    |
|    ep_rew_mean          | 780         |
| time/                   |             |
|    fps                  | 1369        |
|    iterations           | 314         |
|    time_elapsed         | 469         |
|    total_timesteps      | 643072      |
| train/                  |             |
|    approx_kl            | 0.030995576 |
|    clip_fraction        | 0.341       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.66904205  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0451     |
|    n_updates            | 3130        |
|    policy_gradient_loss | -0.0355     |
|    std                  | 0.699       |
|    value_loss           | 0.00287     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.46e+03    |
|    ep_rew_mean          | 780         |
| time/                   |             |
|    fps                  | 1367        |
|    iterations           | 315         |
|    time_elapsed         | 471         |
|    total_timesteps      | 645120      |
| train/                  |             |
|    approx_kl            | 0.03133862  |
|    clip_fraction        | 0.346       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | -0.09666479 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0441     |
|    n_updates            | 3140        |
|    policy_gradient_loss | -0.0321     |
|    std                  | 0.698       |
|    value_loss           | 0.00436     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.46e+03    |
|    ep_rew_mean          | 780         |
| time/                   |             |
|    fps                  | 1363        |
|    iterations           | 316         |
|    time_elapsed         | 474         |
|    total_timesteps      | 647168      |
| train/                  |             |
|    approx_kl            | 0.029967658 |
|    clip_fraction        | 0.359       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.547987    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0724     |
|    n_updates            | 3150        |
|    policy_gradient_loss | -0.0383     |
|    std                  | 0.698       |
|    value_loss           | 0.00749     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.46e+03    |
|    ep_rew_mean          | 780         |
| time/                   |             |
|    fps                  | 1358        |
|    iterations           | 317         |
|    time_elapsed         | 477         |
|    total_timesteps      | 649216      |
| train/                  |             |
|    approx_kl            | 0.032313682 |
|    clip_fraction        | 0.372       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.7       |
|    explained_variance   | 0.56639916  |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0395     |
|    n_updates            | 3160        |
|    policy_gradient_loss | -0.0411     |
|    std                  | 0.695       |
|    value_loss           | 0.00505     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.73e+03    |
|    ep_rew_mean          | 850         |
| time/                   |             |
|    fps                  | 1351        |
|    iterations           | 318         |
|    time_elapsed         | 481         |
|    total_timesteps      | 651264      |
| train/                  |             |
|    approx_kl            | 0.031741224 |
|    clip_fraction        | 0.365       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.6       |
|    explained_variance   | 0.005149126 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0661     |
|    n_updates            | 3170        |
|    policy_gradient_loss | -0.0389     |
|    std                  | 0.693       |
|    value_loss           | 0.00764     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.75e+03   |
|    ep_rew_mean          | 855        |
| time/                   |            |
|    fps                  | 1348       |
|    iterations           | 319        |
|    time_elapsed         | 484        |
|    total_timesteps      | 653312     |
| train/                  |            |
|    approx_kl            | 0.03348078 |
|    clip_fraction        | 0.331      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.6      |
|    explained_variance   | 0.8496865  |
|    learning_rate        | 0.0003     |
|    loss                 | -0.022     |
|    n_updates            | 3180       |
|    policy_gradient_loss | -0.0247    |
|    std                  | 0.692      |
|    value_loss           | 0.273      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.75e+03    |
|    ep_rew_mean          | 856         |
| time/                   |             |
|    fps                  | 1344        |
|    iterations           | 320         |
|    time_elapsed         | 487         |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.023860361 |
|    clip_fraction        | 0.31        |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.6       |
|    explained_variance   | 0.89878124  |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0525      |
|    n_updates            | 3190        |
|    policy_gradient_loss | -0.03       |
|    std                  | 0.691       |
|    value_loss           | 0.96        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.77e+03    |
|    ep_rew_mean          | 860         |
| time/                   |             |
|    fps                  | 1337        |
|    iterations           | 321         |
|    time_elapsed         | 491         |
|    total_timesteps      | 657408      |
| train/                  |             |
|    approx_kl            | 0.034417607 |
|    clip_fraction        | 0.327       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.6       |
|    explained_variance   | 0.9269272   |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0355      |
|    n_updates            | 3200        |
|    policy_gradient_loss | -0.0283     |
|    std                  | 0.691       |
|    value_loss           | 0.378       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.76e+03    |
|    ep_rew_mean          | 859         |
| time/                   |             |
|    fps                  | 1327        |
|    iterations           | 322         |
|    time_elapsed         | 496         |
|    total_timesteps      | 659456      |
| train/                  |             |
|    approx_kl            | 0.032157667 |
|    clip_fraction        | 0.346       |
|    clip_range           | 0.2         |
|    entropy_loss         | -15.5       |
|    explained_variance   | 0.942105    |
|    learning_rate        | 0.0003      |
|    loss                 | 0.321       |
|    n_updates            | 3210        |
|    policy_gradient_loss | -0.0335     |
|    std                  | 0.69        |
|    value_loss           | 0.863       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.76e+03   |
|    ep_rew_mean          | 860        |
| time/                   |            |
|    fps                  | 1320       |
|    iterations           | 323        |
|    time_elapsed         | 501        |
|    total_timesteps      | 661504     |
| train/                  |            |
|    approx_kl            | 0.03641158 |
|    clip_fraction        | 0.359      |
|    clip_range           | 0.2        |
|    entropy_loss         | -15.5      |
|    explained_variance   | 0.92209816 |
|    learning_rate        | 0.0003     |
|    loss                 | 0.532      |
|    n_updates            | 3220       |
|    policy_gradient_loss | -0.0316    |
|    std                  | 0.689      |
|    value_loss           | 1.45       |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 3.75e+03  |
|    ep_rew_mean          | 859       |
| time/                   |           |
|    fps                  | 1314      |
|    iterations           | 324       |
|    time_elapsed         | 504       |
|    total_timesteps      | 663552    |
| train/                  |           |
|    approx_kl            | 0.0320779 |
|    clip_fraction        | 0.351     |
|    clip_range           | 0.2       |
|    entropy_loss         | -15.5     |
|    explained_variance   | 0.9526879 |
|    learning_rate        | 0.0003    |
|    loss                 | 0.477     |
